generation,best_fitness,mean_fitness,std_fitness,mutation_rate
0,-98.23468147325866,-584.2730862500747,231.1489435842019,0.05
1,-98.23468147325866,-427.82891119487414,236.1020588138369,0.05
2,-98.23468147325866,-337.1962771431092,257.8225132055525,0.05
3,-90.1401516388233,-266.24815423311725,228.40744484031552,0.05
4,-90.1401516388233,-273.53881005246825,253.21713076546294,0.05
5,-90.1401516388233,-293.22013557236266,244.00039893528174,0.05
6,-90.1401516388233,-328.56728585465754,274.39048417863313,0.05
7,-90.1401516388233,-244.27681362937037,194.07259697920222,0.05
8,-90.1401516388233,-351.58879166225944,266.7556833866365,0.05
9,-90.1401516388233,-312.60694186249555,258.5450914097582,0.05
10,-90.1401516388233,-328.910370394944,284.7018308650922,0.05
11,-90.1401516388233,-296.61898486435837,237.42389304717514,0.05
12,-90.1401516388233,-292.4577924157439,238.19301140274823,0.05
13,-90.1401516388233,-361.4720534260778,250.6198119846155,0.05
14,-90.1401516388233,-301.3113176010621,286.87709218853377,0.05
15,-90.1401516388233,-325.1314467135838,232.29187406231785,0.05
16,-90.1401516388233,-270.89389003383445,212.97449572526517,0.05
17,-90.1401516388233,-312.5486723067936,244.54583299243257,0.05
18,-90.1401516388233,-305.78202875889326,227.63494457665888,0.05
19,-90.1401516388233,-329.3994003020582,269.5042132117648,0.05
20,-81.30704399203432,-333.9431496240829,285.5296268611958,0.05
21,-81.30704399203432,-313.36220789093176,239.78639820064382,0.05
22,-81.30704399203432,-361.48714870386226,247.47294149140325,0.05
23,-81.30704399203432,-340.3233762340014,259.4279382858576,0.05
24,-81.30704399203432,-283.31810737204637,241.1104209166164,0.05
25,-81.30704399203432,-256.3848825097738,212.19643422130906,0.05
26,-81.30704399203432,-296.188372856088,232.99472247065162,0.05
27,-81.30704399203432,-278.7874045420965,223.80544263107942,0.05
28,-81.30704399203432,-263.0402369447909,204.82626325043626,0.05
29,-81.30704399203432,-309.85027385279034,234.5974498283838,0.05
30,-78.15868813960313,-280.7663762056028,231.01355953657412,0.05
31,-25.325133299121838,-285.85087083535336,241.23090657439582,0.05
32,-25.325133299121838,-264.76468481461853,222.48072259287366,0.05
33,-25.325133299121838,-350.97588491048185,249.09671437923453,0.05
34,-25.325133299121838,-289.2649940205731,236.57056545460335,0.05
35,-25.325133299121838,-285.4411403857673,226.08988112834277,0.05
36,-25.325133299121838,-312.2027044243483,246.29108864267397,0.05
37,-25.325133299121838,-382.369343167188,279.1450524662959,0.05
38,-25.325133299121838,-300.8729820896279,231.68542818802925,0.05
39,-25.325133299121838,-324.5406372688882,248.62804101680894,0.05
40,-25.325133299121838,-331.6376067361973,230.45006123715515,0.05
41,-25.325133299121838,-377.36592847727866,243.6483792720294,0.05
42,-25.325133299121838,-367.9065350496673,238.28020417980554,0.05
43,-25.325133299121838,-343.771588711496,272.0626064515329,0.05
44,-25.325133299121838,-347.321062948363,250.5393465092431,0.05
45,-25.325133299121838,-354.2756447931721,247.54687230226025,0.05
46,-25.325133299121838,-375.5304794560312,288.31968068530904,0.05
47,-25.325133299121838,-291.97702225194257,224.5473279778635,0.05
48,-25.325133299121838,-370.16542153913105,263.10183993074656,0.05
49,-25.325133299121838,-327.49542291072635,282.34979859205936,0.05
