episode,train_reward,eval_reward
50,-184.89807786775404,-131.92032554238958
100,-190.57232875358443,-183.37409626219375
150,-208.40314844628156,-176.0447733583723
200,-197.50525150615564,-180.26902635995583
250,-167.00130793276423,-150.379754503725
300,-197.06912783544726,-174.38741400525373
350,-184.16995631432061,-154.2726359651221
400,-206.09923440535636,-153.41352310338112
450,-200.80455929630477,-140.12395183776783
500,-214.61534644789248,-131.34614182305276
550,-201.50482702885304,-142.5593876663764
600,-193.71790634005498,-160.17034559693974
650,-213.60788376152604,-155.25549498282368
700,-194.04213204499203,-140.81593344144827
750,-173.752251125161,-140.81593344144827
800,-184.3123009136341,-142.32547240690747
850,-152.5616422778862,-160.75981601279014
900,-167.76921459451137,-121.95115540068772
950,-222.39460415727527,-116.99840258945551
1000,-204.17025577674337,-122.02772306141947
1050,-181.37027809727093,-128.7051205198493
1100,-160.9150406659977,-127.73797557643988
1150,-191.80215407171588,-127.73797557643988
1200,-185.3036262440853,-127.67515820112854
1250,-213.50966724402338,-127.67515820112854
1300,-205.1823275578683,-127.6756349365634
1350,-178.0917208771156,-131.89214194674258
1400,-189.14853804865163,-131.5127606613963
1450,-197.79796365394887,-175.96891795181253
1500,-183.5564428370205,-177.73147247373214
1550,-200.25519740754515,-177.56640290479203
1600,-187.31303064781048,-131.8312353218177
1650,-182.22730019634037,-177.4616531520549
1700,-212.67586876613365,-176.46265783044277
1750,-214.50484202117843,-177.14704970010717
1800,-185.40439332841044,-177.1228531643705
1850,-199.58766104905823,-176.40926963449505
1900,-172.95487479264196,-175.97089238252198
1950,-195.47089649201723,-176.32081564537862
2000,-204.35420444130924,-142.47945531545457
