episode,eval_reward
50,-158.37683887800728
100,-647.7941939508212
150,-489.2787202355291
200,-664.1960981285378
250,-545.0784350284259
300,-514.6193729097783
350,-637.4170519822225
400,-574.556995925706
450,-441.8616418329715
500,-615.0388693662605
550,-672.1462729190175
600,-540.9744633536122
650,-504.8217339519233
700,-610.378298988448
750,-703.4316349757064
800,-501.17066409699174
850,-503.5911057596262
900,-748.2150690130081
950,-472.68357854911085
1000,-553.0080662352447
1050,-508.60070681946564
1100,-530.2978853509445
1150,-703.21003340211
1200,-525.4074083105259
1250,-628.0251254110092
1300,-512.6299569933511
1350,-632.6029485939158
1400,-489.99657591404684
1450,-627.4202733624277
1500,-532.326218927526
1550,-510.2501597589262
1600,-664.0851185910499
1650,-538.9308384516493
1700,-637.8721961534482
1750,-554.6614831869854
1800,-517.1497432954301
1850,-585.7371360385616
1900,-725.5704409945171
1950,-586.4164278686201
2000,-498.7606162862161
