step,episode,eval_mean,eval_std,best_eval,train_reward
1705,20,-122.91691007807303,16.977941629916817,-122.91691007807303,-105.69344350925267
3502,40,-179.7221023372819,44.516062793348325,-122.91691007807303,-210.81806560803517
5285,60,-198.8844392352532,47.972371557535816,-122.91691007807303,-346.9568195597459
7192,80,-243.94088881952808,89.0264473499385,-122.91691007807303,-113.11066175476293
9096,100,-259.73780015536556,72.53549132620068,-122.91691007807303,-122.01198538080027
11002,120,-449.6197363983163,241.7811878508086,-122.91691007807303,-92.20463836014143
12947,140,-599.6423951198633,154.04302637986765,-122.91691007807303,-100.08120181652933
15350,160,-547.5653372230322,299.192028555843,-122.91691007807303,-101.08107180103569
17898,180,-852.9618023115581,364.8809368715995,-122.91691007807303,-64.33028884136938
20508,200,-891.1316599450663,425.36081434611583,-122.91691007807303,-9.426563584317663
25006,220,-1204.4781867984168,386.3078773928779,-122.91691007807303,-172.20598470303625
28889,240,-750.1495952729675,218.56407769106468,-122.91691007807303,-9.078975733127763
36144,260,-262.1324728483478,83.59745079961966,-122.91691007807303,-70.58292577675229
46438,280,-263.00747878083786,33.33148421009193,-122.91691007807303,128.13089811112874
56127,300,-131.94069199869233,46.59985162413,-122.91691007807303,-144.54918662521624
69326,320,-49.8090920043371,25.13744328517685,-49.8090920043371,40.02752159990822
80289,340,-57.940841672406705,91.20805901803749,-49.8090920043371,29.351407140060473
90066,360,71.50026366837011,97.15194634602969,71.50026366837011,40.28925167179986
102846,380,76.13624848143759,99.7098751101422,76.13624848143759,92.08850558477081
114504,400,74.99057932925957,104.74672591910085,76.13624848143759,15.059385903932423
132322,420,201.1093872278443,63.242667830903756,201.1093872278443,124.96096066939351
150203,440,252.95337243252894,20.127658710364834,252.95337243252894,154.50404346019494
166951,460,232.72195277346447,66.99998656072754,252.95337243252894,161.2140086451222
179572,480,240.49635723287875,68.88658124084576,252.95337243252894,233.5942346404605
186772,500,263.49417185172365,22.170945925964862,263.49417185172365,248.36345751113709
192999,520,229.41547739781396,65.29457000747989,263.49417185172365,267.61012714495985
199121,540,264.82347076811817,16.72402303969568,264.82347076811817,232.96765384919703
